"","grid_label","row","col","lon","lat"
"1","A1","A",1,-2.42940671614517,52.7669216574711
"2","A2","A",2,-2.42933261474341,52.7669219258121
"3","A3","A",3,-2.42925851334048,52.7669221941069
"4","A4","A",4,-2.42918441193637,52.7669224623554
"5","A5","A",5,-2.42911031053109,52.7669227305577
"6","A6","A",6,-2.42903620912464,52.7669229987136
"7","A7","A",7,-2.42896210771701,52.7669232668233
"8","A8","A",8,-2.42888800630821,52.7669235348867
"9","A9","A",9,-2.42881390489824,52.7669238029038
"10","A10","A",10,-2.42873980348709,52.7669240708746
"11","A11","A",11,-2.42866570207477,52.7669243387991
"12","A12","A",12,-2.42859160066128,52.7669246066774
"13","A13","A",13,-2.42851749924661,52.7669248745094
"14","A14","A",14,-2.42844339783077,52.7669251422951
"15","A15","A",15,-2.42836929641376,52.7669254100345
"16","A16","A",16,-2.42829519499558,52.7669256777277
"17","A17","A",17,-2.42822109357622,52.7669259453745
"18","A18","A",18,-2.42814699215569,52.7669262129751
"19","A19","A",19,-2.428072890734,52.7669264805294
"20","A20","A",20,-2.42799878931113,52.7669267480374
"21","B1","B",1,-2.42940627370334,52.7668767111382
"22","B2","B",2,-2.42933217237789,52.7668769794789
"23","B3","B",3,-2.42925807105125,52.7668772477732
"24","B4","B",4,-2.42918396972345,52.7668775160213
"25","B5","B",5,-2.42910986839447,52.7668777842231
"26","B6","B",6,-2.42903576706431,52.7668780523786
"27","B7","B",7,-2.42896166573298,52.7668783204878
"28","B8","B",8,-2.42888756440048,52.7668785885508
"29","B9","B",9,-2.4288134630668,52.7668788565675
"30","B10","B",10,-2.42873936173195,52.7668791245379
"31","B11","B",11,-2.42866526039593,52.766879392462
"32","B12","B",12,-2.42859115905874,52.7668796603398
"33","B13","B",13,-2.42851705772037,52.7668799281714
"34","B14","B",14,-2.42844295638083,52.7668801959566
"35","B15","B",15,-2.42836885504011,52.7668804636956
"36","B16","B",16,-2.42829475369823,52.7668807313883
"37","B17","B",17,-2.42822065235517,52.7668809990348
"38","B18","B",18,-2.42814655101094,52.7668812666349
"39","B19","B",19,-2.42807244966554,52.7668815341888
"40","B20","B",20,-2.42799834831897,52.7668818016964
"41","C1","C",1,-2.4294058312627,52.7668317648051
"42","C2","C",2,-2.42933173001354,52.7668320331453
"43","C3","C",3,-2.4292576287632,52.7668323014392
"44","C4","C",4,-2.4291835275117,52.7668325696868
"45","C5","C",5,-2.42910942625901,52.7668328378882
"46","C6","C",6,-2.42903532500516,52.7668331060433
"47","C7","C",7,-2.42896122375013,52.7668333741521
"48","C8","C",8,-2.42888712249392,52.7668336422146
"49","C9","C",9,-2.42881302123654,52.7668339102308
"50","C10","C",10,-2.42873891997799,52.7668341782008
"51","C11","C",11,-2.42866481871827,52.7668344461245
"52","C12","C",12,-2.42859071745737,52.7668347140019
"53","C13","C",13,-2.4285166161953,52.766834981833
"54","C14","C",14,-2.42844251493206,52.7668352496178
"55","C15","C",15,-2.42836841366764,52.7668355173564
"56","C16","C",16,-2.42829431240205,52.7668357850487
"57","C17","C",17,-2.4282202111353,52.7668360526947
"58","C18","C",18,-2.42814610986736,52.7668363202944
"59","C19","C",19,-2.42807200859826,52.7668365878478
"60","C20","C",20,-2.42799790732799,52.766836855355
"61","D1","D",1,-2.42940538882323,52.7667868184716
"62","D2","D",2,-2.42933128765037,52.7667870868113
"63","D3","D",3,-2.42925718647633,52.7667873551048
"64","D4","D",4,-2.42918308530112,52.766787623352
"65","D5","D",5,-2.42910898412473,52.766787891553
"66","D6","D",6,-2.42903488294717,52.7667881597076
"67","D7","D",7,-2.42896078176844,52.766788427816
"68","D8","D",8,-2.42888668058853,52.766788695878
"69","D9","D",9,-2.42881257940745,52.7667889638939
"70","D10","D",10,-2.4287384782252,52.7667892318634
"71","D11","D",11,-2.42866437704177,52.7667894997866
"72","D12","D",12,-2.42859027585717,52.7667897676636
"73","D13","D",13,-2.4285161746714,52.7667900354943
"74","D14","D",14,-2.42844207348446,52.7667903032787
"75","D15","D",15,-2.42836797229634,52.7667905710168
"76","D16","D",16,-2.42829387110705,52.7667908387087
"77","D17","D",17,-2.42821976991659,52.7667911063542
"78","D18","D",18,-2.42814566872496,52.7667913739535
"79","D19","D",19,-2.42807156753215,52.7667916415065
"80","D20","D",20,-2.42799746633818,52.7667919090132
"81","E1","E",1,-2.42940494638493,52.7667418721377
"82","E2","E",2,-2.42933084528837,52.766742140477
"83","E3","E",3,-2.42925674419063,52.7667424087701
"84","E4","E",4,-2.42918264309172,52.7667426770169
"85","E5","E",5,-2.42910854199163,52.7667429452174
"86","E6","E",6,-2.42903444089037,52.7667432133716
"87","E7","E",7,-2.42896033978793,52.7667434814795
"88","E8","E",8,-2.42888623868432,52.7667437495412
"89","E9","E",9,-2.42881213757954,52.7667440175565
